text,label
i need advice because could you help me should i see a doctor if i have shortness of breath?,Seek Medical Help
what self care steps help with mild fever,Self-Care Advice
"please help, what over the counter medicine helps with flu symptoms right now?",Medication Question
"please help, could you help me my cough started yesterday and now i feel tired?",Symptom Inquiry
"please help, what over the counter medicine helps with flu symptoms?",Medication Question
i need advice because do i need urgent care for chest tightness and cough?,Seek Medical Help
i need advice because should i worry if i feel weak and my cough is severe since yesterday?,Seek Medical Help
i woke up with a sore throat and light fever,Symptom Inquiry
i want to know if could you help me is nasal spray okay for congestion and i am worried?,Medication Question
could you help me when is a fever serious enough to get medical help for two days?,Seek Medical Help
i need advice because is it safe to take lozenges for throat pain right now,Medication Question
"please help, can i take fever medicine before sleeping since yesterday?",Medication Question
i need advice because do i need urgent care for chest tightness and cough this morning?,Seek Medical Help
i need advice because i have mild breathing discomfort when i cough this morning?,Symptom Inquiry
i want to know if how should i rest if i feel like i have the flu and i am worried?,Self-Care Advice
can you tell me if can i use common cold tablets for sneezing and cough right now?,Medication Question
can you tell me if is it time to see a doctor for a persistent cough since yesterday?,Seek Medical Help
i want to know if should i go to urgent care for fever and chest pain for two days,Seek Medical Help
how can i sleep better when i keep coughing,Self-Care Advice
i have cold symptoms and a persistent cough this morning,Symptom Inquiry
i have a sore throat and a mild fever,Symptom Inquiry
"please help, how do i take care of a cold without going to a clinic and i am worried?",Self-Care Advice
i want to know if could you help me i have a sore throat and a mild fever for two days?,Symptom Inquiry
"please help, could you help me what can i do for sneezing and a blocked nose for two days?",Self-Care Advice
could you help me what medicine helps with congestion and fever since yesterday?,Medication Question
could you help me what medicine helps with congestion and fever?,Medication Question
i want to know if what should i drink if i have a sore throat and cough since yesterday,Self-Care Advice
what medication can help a mild cough,Medication Question
"for the last two days, my cough started yesterday and now i feel tired right now",Symptom Inquiry
can you tell me if could you help me how should i rest if i feel like i have the flu this morning?,Self-Care Advice
"for the last two days, my throat feels dry and i have a runny nose for two days?",Symptom Inquiry
i need advice because could you help me i have been sneezing and coughing for two days for two days?,Symptom Inquiry
i need advice because how can i ease throat pain and nasal congestion and i am worried,Self-Care Advice
"for the last two days, could you help me what should i do for a sore throat this morning?",Self-Care Advice
i need advice because could you help me is nasal spray okay for congestion for two days?,Medication Question
i need advice because could you help me how do i take care of a cold without going to a clinic right now?,Self-Care Advice
"for the last two days, could you help me i have mild breathing discomfort when i cough and i am worried?",Symptom Inquiry
"for the last two days, is it time to see a doctor for a persistent cough right now?",Seek Medical Help
i want to know if could you help me when is a fever serious enough to get medical help?,Seek Medical Help
"please help, how can i ease throat pain and nasal congestion since yesterday",Self-Care Advice
can you tell me if my cough started yesterday and now i feel tired right now?,Symptom Inquiry
can you tell me if how do i take care of a cold without going to a clinic right now,Self-Care Advice
what are some home remedies for cough and fever,Self-Care Advice
can you tell me if could you help me is it time to see a doctor for a persistent cough for two days?,Seek Medical Help
"for the last two days, what over the counter medicine helps with flu symptoms for two days",Medication Question
"for the last two days, could you help me what are some home remedies for cough and fever since yesterday?",Self-Care Advice
i need advice because can i take fever medicine before sleeping and i am worried,Medication Question
"please help, do i need medical help if my breathing feels harder for two days",Seek Medical Help
i want to know if can i combine cold medicine with pain reliever and i am worried,Medication Question
"for the last two days, can i take ibuprofen for fever and sore throat right now?",Medication Question
